순위,브랜드,모델명,세그먼트,차체유형,파워트레인유형,연료유종,최저가(만원),최고가(만원),정격효율,효율단위,baseEffCoeff,regenBonus,accelPenalty,finalEffCoeff,예상실효율,월주행거리(km),예상월비용(원),효율점수,월비용점수,회생점수,토크응답점수,컴포트점수,고속순항점수,총점,최대출력(hp),출력판정,ACC탑재,회생제동조절
32,현대,아반떼 HEV,준중형,세단,병렬HEV,휘발유,2523,3184,21.6,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,24.796702854926064,360.4484651883339,23984.639048195113,35.0,18.401024063453658,10.0,9.0,0.0,8.0,80.40102406345366,150,출력 여유 부족 가능,O,X
33,기아,니로 HEV,소형,SUV,병렬HEV,휘발유,2930,3590,20.8,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,23.878306452891763,360.4484651883339,24907.12516543339,35.0,18.339524988971107,10.0,9.0,0.0,8.0,80.3395249889711,141,출력 여유 부족 가능,O,O
34,기아,스포티지 PHEV,준중형,SUV,PHEV,휘발유+전기,4190,4790,14.3,km/L,1.100503355704698,0.04903544809629757,0.0,1.1495388038009955,16.438404894354235,360.4484651883339,36179.90744132444,35.0,17.58800617057837,10.0,9.75,0.0,8.0,80.33800617057837,265,출력 여유 충분,O,O
35,현대,코나 HEV,소형,SUV,병렬HEV,휘발유,2859,3473,20.2,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,23.18950915136604,360.4484651883339,25646.94076440666,35.0,18.290203949039558,10.0,9.0,0.0,8.0,80.29020394903955,141,출력 여유 부족 가능,O,O
36,현대,쏘나타 HEV,중형,세단,병렬HEV,휘발유,3270,3979,19.7,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,22.6155114000946,360.4484651883339,26297.87834725962,35.0,18.24680811018269,10.0,9.0,0.0,8.0,80.24680811018268,195,출력 여유 부족 가능,O,O
37,기아,K5 HEV,중형,세단,병렬HEV,휘발유,3241,3868,19.4,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,22.27111274933174,360.4484651883339,26704.54656912446,35.0,18.219696895391703,10.0,9.0,0.0,8.0,80.2196968953917,195,출력 여유 부족 가능,O,O
38,기아,셀토스 HEV,소형,SUV,병렬HEV,휘발유,2898,3901,17.8,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,20.434319945263145,360.4484651883339,29104.955249495193,35.0,18.059669650033655,10.0,9.0,0.0,8.0,80.05966965003365,230,출력 하한 근접,O,O
39,기아,쏘렌토 PHEV,중형,SUV,PHEV,휘발유+전기,4790,5520,12.8,km/L,1.100503355704698,0.04903544809629757,0.0,1.1495388038009955,14.714096688652743,360.4484651883339,40419.74034460465,35.0,17.30535064369302,10.0,9.75,0.0,8.0,80.05535064369302,265,출력 여유 충분,O,O
40,현대,그랜저 HEV,대형,세단,병렬HEV,휘발유,4096,5513,17.1,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,19.630723093483134,360.4484651883339,30296.386166141197,35.0,17.980240922257252,10.0,9.0,0.0,8.0,79.98024092225725,230,출력 하한 근접,O,O
41,기아,K8 HEV,대형,세단,병렬HEV,휘발유,4206,5052,17.0,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,19.515923543228844,360.4484651883339,30474.60020241262,35.0,17.968359986505824,10.0,9.0,0.0,8.0,79.96835998650582,230,출력 하한 근접,O,O
42,현대,투싼 HEV,준중형,SUV,병렬HEV,휘발유,3390,4090,16.2,km/L,1.1050894854586129,0.04290601708426037,0.0,1.1479955025428732,18.597527141194544,360.4484651883339,31979.51873092683,35.0,17.868032084604877,10.0,9.0,0.0,8.0,79.86803208460488,230,출력 하한 근접,O,O
