speed_kmh,rpm,engine_load_pct,maf_gps,fuel_rate_lph,distance_km,speed_mps,time_s,dt_s,accel_mps2,distance_step_m,required_load_pct,power_load_deviation_pp,is_analyzable_quasi_cruise,obd_grade_class,equivalent_grade_index_pct
1.8,898.8,59.450980392156865,7.272,1.2475135746606336,0.051680332172222156,0.5,122.0,1.0,0.2962962962962964,0.5,8.32886,51.122120392156866,False,non_analyzed,12.0
4.2,900.4,58.4313725490196,7.398000000000001,1.2469343891402718,0.052496809866666584,1.1666666666666667,123.0,1.0,0.5401234567901233,1.1666666666666667,8.78246,49.6489125490196,False,non_analyzed,12.0
6.833333333333333,900.1666666666666,55.88235294117647,7.271666666666667,1.172124811463047,0.05423315220833327,1.898148148148148,124.0,1.0,0.6203703703703702,1.898148148148148,9.300041666666667,46.582311274509806,False,non_analyzed,12.0
8.5,904.6666666666666,34.57516339869281,7.04,0.6995607088989443,0.05634954967592589,2.361111111111111,125.0,1.0,0.462962962962963,2.361111111111111,9.638375,24.93678839869281,False,non_analyzed,7.124796685340803
9.2,898.0,37.17647058823529,7.072,0.7584117647058823,0.05894967432222213,2.5555555555555554,126.0,1.0,0.1080246913580245,2.5555555555555554,9.782960000000001,27.393510588235287,True,strong_uphill_or_external_load,7.8267173109243675
8.0,898.0,37.908496732026144,7.1883333333333335,0.7858993212669683,0.060878464444444384,2.2222222222222223,127.0,1.0,-0.06172839506172867,2.2222222222222223,9.536,28.372496732026143,True,strong_uphill_or_external_load,8.106427637721755
7.833333333333333,899.3333333333334,35.88235294117647,7.216666666666666,0.7469570135746606,0.06327893340277772,2.1759259259259256,128.0,1.0,-0.049382716049382935,2.1759259259259256,9.502041666666667,26.380311274509804,True,strong_uphill_or_external_load,7.537231792717087
8.666666666666666,918.6666666666666,48.36601307189542,7.336666666666667,1.0426960784313726,0.06560104460648142,2.407407407407407,129.0,1.0,0.2160493827160499,2.407407407407407,9.672666666666666,38.69334640522876,True,strong_uphill_or_external_load,11.05524183006536
10.333333333333334,1553.0,75.62091503267975,16.171666666666667,3.452469834087481,0.06825348070833324,2.8703703703703707,130.0,1.0,0.47839506172839474,2.8703703703703707,10.020166666666666,65.60074836601308,False,non_analyzed,12.0
13.0,1835.6,56.705882352941174,16.45,2.704814479638009,0.07172657292222215,3.611111111111111,131.0,1.0,0.6635802469135808,3.611111111111111,10.5935,46.112382352941175,False,non_analyzed,12.0
15.833333333333334,1255.0,69.86928104575163,10.703333333333333,2.128039215686275,0.07589181102314807,4.398148148148148,132.0,1.0,0.733024691358025,4.398148148148148,11.226041666666667,58.64323937908497,False,non_analyzed,12.0
18.25,1340.25,80.09803921568627,10.945,2.525240384615385,0.08069654664583326,5.069444444444445,133.0,1.0,0.6790123456790118,5.069444444444445,11.78459375,68.31344546568627,False,non_analyzed,12.0
20.333333333333332,1508.0,76.33986928104575,13.118333333333334,2.8737462292609357,0.08591146172685178,5.648148148148148,134.0,1.0,0.617283950617284,5.648148148148148,12.280166666666666,64.05970261437909,False,non_analyzed,12.0
22.5,1619.75,45.588235294117645,14.4,1.9115752262443442,0.09219847716666665,6.25,135.0,1.0,0.36265432098765515,6.25,12.809375000000001,32.77886029411764,False,non_analyzed,9.365388655462183
22.166666666666668,1568.1666666666667,9.019607843137253,11.988333333333335,0.2937820512820513,0.09795992571759254,6.157407407407407,136.0,1.0,0.04629629629629495,6.157407407407407,12.727041666666667,-3.7074338235294135,True,normal_load,-1.0592668067226896
20.833333333333332,1487.0,39.673202614379086,12.674999999999999,1.4375169683257922,0.10412532868055552,5.787037037037036,137.0,1.0,-0.07716049382715973,5.787037037037036,12.401041666666666,27.272160947712422,True,strong_uphill_or_external_load,7.792045985060692
21.666666666666668,1560.1666666666667,59.01960784313726,12.375,2.1117590497737555,0.1098434066296296,6.018518518518519,138.0,1.0,0.09567901234567877,6.018518518518519,12.604166666666668,46.415441176470594,True,strong_uphill_or_external_load,12.0
23.2,1660.4,58.82352941176471,13.374,2.269260180995475,0.11616821109999995,6.444444444444444,139.0,1.0,0.33950617283950635,6.444444444444444,12.98336,45.84016941176471,False,non_analyzed,12.0
24.5,1752.0,56.73202614379085,13.863333333333332,2.2649076168929114,0.12256271400462959,6.805555555555555,140.0,1.0,0.3827160493827151,6.805555555555555,13.310375,43.42165114379085,False,non_analyzed,12.0
25.8,1851.6,43.84313725490196,14.934000000000001,1.877314479638009,0.1296990776444444,7.166666666666667,141.0,1.0,0.35185185185185297,7.166666666666667,13.64246,30.20067725490196,False,non_analyzed,8.62876492997199
27.0,1882.6666666666667,21.241830065359476,15.658333333333333,0.9669362745098038,0.1370540713888889,7.5,142.0,1.0,0.1759259259259256,7.5,13.9535,7.288330065359476,True,transition_load,2.082380018674136
26.4,1884.8,2.980392156862745,17.712,0.1514524886877828,0.14508721600555557,7.333333333333333,143.0,1.0,0.0030864197530870996,7.333333333333333,13.797439999999998,-10.817047843137253,True,downhill_or_coast_possible,-3.0905850980392153
25.833333333333332,1834.8333333333333,0.0,17.42,0.0,0.15128213441203706,7.175925925925926,144.0,1.0,-0.26620370370370505,7.175925925925926,13.651041666666664,-13.651041666666664,True,downhill_or_coast_possible,-3.900297619047618
24.125,1717.375,0.0,16.035,0.0,0.15892890495138895,6.701388888888888,145.0,1.0,-0.314814814814814,6.701388888888888,13.215523437500002,-13.215523437500002,False,non_analyzed,-3.775863839285715
23.0,1647.3333333333333,11.372549019607844,15.290000000000001,0.49888009049773757,0.1655018981620371,6.388888888888888,146.0,1.0,-0.2623456790123466,6.388888888888888,12.9335,-1.5609509803921569,True,normal_load,-0.4459859943977591
23.0,1660.6,32.549019607843135,15.104000000000003,1.4089140271493215,0.17165785470000008,6.388888888888888,147.0,1.0,0.025462962962963687,6.388888888888888,12.9335,19.615519607843133,True,strong_uphill_or_external_load,5.604434173669467
